Campaign_ID,Launch_Date,Channel,Impressions,Clicks,Spend,Conversions
CMP_500,2024-01-01,Search Ads,136422,4154,3709.44,551
CMP_501,2024-01-08,Social Media,167434,7963,10226.85,1052
CMP_502,2024-01-15,Email Marketing,111424,3571,6032.32,517
CMP_503,2024-01-22,Display Network,185508,10488,8723.63,532
CMP_504,2024-01-29,Influencer,117311,4860,6860.6,669
CMP_505,2024-02-05,Search Ads,200981,11622,5764.84,1266
CMP_506,2024-02-12,Social Media,197465,11012,2924.8,993
CMP_507,2024-02-19,Email Marketing,167937,4521,5881.94,253
CMP_508,2024-02-26,Display Network,166791,5004,5480.95,461
CMP_509,2024-03-04,Influencer,99894,6612,7513.1,347
CMP_510,2024-03-11,Search Ads,204195,5225,9027.96,564
CMP_511,2024-03-18,Social Media,169843,12132,7511.7,706
CMP_512,2024-03-25,Email Marketing,196699,10234,5420.89,994
CMP_513,2024-04-01,Display Network,94314,2884,6745.36,248
CMP_514,2024-04-08,Influencer,214887,6180,10195.69,422
CMP_515,2024-04-15,Search Ads,162602,4462,8939.19,240
CMP_516,2024-04-22,Social Media,108806,8030,4838.21,574
CMP_517,2024-04-29,Email Marketing,55701,1232,10734.54,182
CMP_518,2024-05-06,Display Network,102902,7884,2401.2,621
CMP_519,2024-05-13,Influencer,185948,10626,9183.5,1134
CMP_520,2024-05-20,Search Ads,233792,11777,10808.3,1138
CMP_521,2024-05-27,Social Media,93054,6626,3570.04,340
CMP_522,2024-06-03,Email Marketing,192417,9485,4527.28,1062
CMP_523,2024-06-10,Display Network,114285,2861,11559.03,215
CMP_524,2024-06-17,Influencer,229949,17759,9953.49,1192
CMP_525,2024-06-24,Search Ads,60040,4201,6867.24,250
CMP_526,2024-07-01,Social Media,226120,11713,11555.84,853
CMP_527,2024-07-08,Email Marketing,144763,4294,4299.81,613
CMP_528,2024-07-15,Display Network,234142,16376,7796.23,1303
CMP_529,2024-07-22,Influencer,165776,13029,4901.21,1391
