Order_ID,Order_Date,Sales,Profit,Quantity,Customer,Product,Region,Category
ORD_10000,2023-01-01,47823.79,12941.87,261,CLIENT_0,SKU_0,North America,Technology
ORD_10001,2023-02-01,47771.85,13540.86,313,CLIENT_1,SKU_1,Europe,Furniture
ORD_10002,2023-03-01,49881.35,14261.7,328,CLIENT_2,SKU_2,Asia Pacific,Office Supplies
ORD_10003,2023-04-01,50854.73,14270.5,334,CLIENT_3,SKU_3,Latin America,Apparel
ORD_10004,2023-05-01,52318.52,15021.28,378,CLIENT_4,SKU_4,North America,Technology
ORD_10005,2023-06-01,54045.59,14558.63,384,CLIENT_5,SKU_5,Europe,Furniture
ORD_10006,2023-07-01,57780.47,15259.11,407,CLIENT_6,SKU_6,Asia Pacific,Office Supplies
ORD_10007,2023-08-01,58330.4,15413.03,405,CLIENT_7,SKU_7,Latin America,Apparel
ORD_10008,2023-09-01,58341.35,17092.61,440,CLIENT_0,SKU_8,North America,Technology
ORD_10009,2023-10-01,61604.55,17205.26,461,CLIENT_1,SKU_9,Europe,Furniture
ORD_10010,2023-11-01,64609.19,17750.3,476,CLIENT_2,SKU_10,Asia Pacific,Office Supplies
ORD_10011,2023-12-01,63607.51,18388.74,493,CLIENT_3,SKU_11,Latin America,Apparel
ORD_10012,2024-01-01,67392.95,18679.36,521,CLIENT_4,SKU_0,North America,Technology
ORD_10013,2024-02-01,69151.11,18176.29,524,CLIENT_5,SKU_1,Europe,Furniture
ORD_10014,2024-03-01,69656.78,19657.62,546,CLIENT_6,SKU_2,Asia Pacific,Office Supplies
ORD_10015,2024-04-01,69240.08,19824.24,566,CLIENT_7,SKU_3,Latin America,Apparel
ORD_10016,2024-05-01,72656.17,20033.93,607,CLIENT_0,SKU_4,North America,Technology
ORD_10017,2024-06-01,73346.97,19906.42,608,CLIENT_1,SKU_5,Europe,Furniture
ORD_10018,2024-07-01,75088.42,20456.56,640,CLIENT_2,SKU_6,Asia Pacific,Office Supplies
ORD_10019,2024-08-01,74621.04,20818.65,647,CLIENT_3,SKU_7,Latin America,Apparel
ORD_10020,2024-09-01,77490.66,22340.86,697,CLIENT_4,SKU_8,North America,Technology
ORD_10021,2024-10-01,79151.75,22249.46,705,CLIENT_5,SKU_9,Europe,Furniture
ORD_10022,2024-11-01,79960.74,22252.85,702,CLIENT_6,SKU_10,Asia Pacific,Office Supplies
ORD_10023,2024-12-01,82869.46,23605.95,746,CLIENT_7,SKU_11,Latin America,Apparel
ORD_10024,2025-01-01,84432.95,23551.94,766,CLIENT_0,SKU_0,North America,Technology
ORD_10025,2025-02-01,83941.23,24307.9,781,CLIENT_1,SKU_1,Europe,Furniture
ORD_10026,2025-03-01,87868.34,24021.88,811,CLIENT_2,SKU_2,Asia Pacific,Office Supplies
ORD_10027,2025-04-01,89092.59,25253.6,819,CLIENT_3,SKU_3,Latin America,Apparel
ORD_10028,2025-05-01,91889.13,25064.59,831,CLIENT_4,SKU_4,North America,Technology
ORD_10029,2025-06-01,90024.45,25312.62,876,CLIENT_5,SKU_5,Europe,Furniture
ORD_10030,2025-07-01,90860.47,26489.38,885,CLIENT_6,SKU_6,Asia Pacific,Office Supplies
ORD_10031,2025-08-01,93700.74,26167.21,913,CLIENT_7,SKU_7,Latin America,Apparel
ORD_10032,2025-09-01,95232.22,27317.17,928,CLIENT_0,SKU_8,North America,Technology
ORD_10033,2025-10-01,98038.75,27952.93,933,CLIENT_1,SKU_9,Europe,Furniture
ORD_10034,2025-11-01,98355.76,27811.73,978,CLIENT_2,SKU_10,Asia Pacific,Office Supplies
ORD_10035,2025-12-01,99298.51,28141.51,965,CLIENT_3,SKU_11,Latin America,Apparel
